,Name,Rate,Reviews_num,Type,Review,By,Lat,Lng,Hotness
62,Echidna Walkabout - Day Tours,4.7,624,Walking Tours • Eco Tours,We stopped for a lovely dinner at a campsite and had billy tea as well.,By 743sydneyr,-37.8353208,144.92034,2932.8
63,Cooks' Cottage,4.3,680,Historic Sites,Well worth a visit if you are a Captain Cook fan or interested in the early European history of Australia.,By NearRadwell,-37.8144963,144.9794409,2924
64,Kayak Melbourne,5,572,Boat Tours • Water Sports,Kayaking on the Yarra River was an opportunity to view Melbourne from a different perspective as well as enjoying the...,By Elainesch3,-37.8200961,144.9398715,2860
65,Welcome to Travel,5,571,City Tours • Multi-day Tours,"... exceeded my expectations, and that’s due to the incredible amount of hard work that the Welcome To Travel team do!",By 916ellena,-37.81573,144.9641841,2855
66,Yarra Trams,2.9,978,Public Transportation Systems,"Travelling by tram in Melbourne is a breeze once you have your Myki card , just remember to keep topped up or the tra...",By A2222222,-37.8165206,144.9575805,2836.2
67,ON A BOAT,4.9,567,Boat Tours • Boat Hire,Incredible experience to view the city of Melbourne from the Yarra river and absorb the amazing sights,By joshua996,-37.823284,144.9535905,2778.3
68,Melbourne By Foot,5,553,City Tours • Cultural Tours,"Informative tour, friendly and knowledgeable guide.",By jfulgrl,-37.8167323,144.9667418,2765
69,Arts Centre Melbourne,4.7,583,Theatres,The huge sets of the ballet were perfect for the state theatre.,By 533lucindap,-37.820183,144.9681048,2740.1
70,Hidden Secrets Tours,4.3,634,Historical & Heritage Tours • Walking Tours,Outstanding Walking Tour Of Melbourne’s History,By hamiltra92677,-37.816657,144.966831,2726.2
71,Autopia Tours,4.4,592,Multi-day Tours • Sightseeing Tours,"Super fun day on the Great Ocean Road with our tour guide John, who was friendly, knowledgeable and always had fun an...",By ungrainderiz,-37.8493645,144.861982,2604.8
72,AAT Kings,4.2,604,City Tours • Cultural Tours,Puffing Billy Train and Yarra Valley Winery tour with unexpected BONUS of city tour!,By 2011lovinitsteph,-37.8171411,144.969985,2536.8
73,Localing Private Tours Melbourne,5,500,City Tours • Sightseeing Tours,"... private tours including wine tasting in the Yarra Valley, a tour of Melbourne, a trip to see the penguins on Phil...",By GlobeTrotting280025,-37.809348,145.00559,2500
74,Princess Theatre,4.6,510,Theatres,"Amazing theatre and for Harry Potter and the Cursed Child, the little details are amazing to fit the theme.",By 786chloeh,-37.810543,144.9724635,2346
75,Melbourne By Bike,5,462,City Tours • Cultural Tours,Thanks for a great intro to the city.,By 2013Kenny,-37.8187068,144.9691298,2310
76,Young and Jackson's Hotel,4.2,550,Bars & Clubs,The rooftop bar is great catch up place too.,By Happydazeheidi,-37.8173408,144.9671631,2310
77,Her Majesty's Theatre,4.5,506,Theatres,Seats in the Dress Circle were perfect to see the set and get the whole experience.,By Kerryn72,-37.8107376,144.9697723,2277
78,Old Treasury Building,4.5,493,Architectural Buildings • History Museums,Great spot for a quick informative tour about the historic gold rush and old time Melbourne.,By zachi2013,-37.8135825,144.9738786,2218.5
79,Hardware Lane,4.5,488,Points of Interest & Landmarks,"... lots of pizza pasta restaurants, really good vibe and a short walk up the hill from the famous Bourke street Mall.",By Beniiboii,-37.8136921,144.9612589,2196
80,Melbourne Street Tours,4.6,471,"Literary, Art & Music Tours • Walking Tours","Learn about the ins and outs of street art, tagging, different artists techniques, different styles and the politics...",By jimbob019,-37.8098492,144.9513263,2166.6
81,Aussie Brewery Tours,5,428,Distillery Tours • Beer Tastings & Tours,Enjoyed so much spoke to Scott (our great guide) as to any other tours going before fly home and booked another one o...,By KeithW2632,-37.8110732,144.9647043,2140
82,Escape Room Melbourne (ERM),4.7,455,Escape Games,They have cameras in the room so can see if you're stuck and you can check in on a walkie talkie if you need a quick...,By hugosampson,-37.8311662,144.9607484,2138.5
83,AAMI Park,4.5,437,Sports Complexes,"1st time Ive been here and I was really impressed, watched the rugby league Melbourne Storm vs Western Tigers and was...",By 392granth,-37.825132,144.983782,1966.5
84,Melbourne Boat Hire,4.9,400,Boat Tours • Eco Tours,A fantastic 4 hour self-drive cruise including a picnic on Herring Island.,By Passport18623808856,-37.8151897,144.9418692,1960
85,Flemington Racecourse,4.5,433,Horse Tracks,The feature event for racing's Spring Carnival is the Melbourne Cup.,By 619jeffry,-37.7836035,144.9176139,1948.5
86,Docklands Stadium,4.3,449,Arenas & Stadiums,"Footy Matches, Edinburgh Military Tattoo and Concerts.",By havetimewilltravel18,-37.8165647,144.9475055,1930.7
87,Marvel Stadium,4.3,444,Arenas & Stadiums,Great viewing from all stand areas.,By DianePhillipIsland,-37.8165647,144.9475055,1909.2
88,Parliament House of Victoria,4.1,451,Historic Sites • Government Buildings,We went on the free tour as a family and our guide Jane was amazing.,By jbrough79,-37.8110469,144.973821,1849.1
89,Chocoholic Tours,4.4,399,City Tours • Walking Tours,Fantastic chocolate tour!!!,By annabelb123,-37.8157993,144.9646657,1755.6
90,Prahran Market,4.5,390,Flea & Street Markets • Farmers Markets,Fantastic fresh fruit and vegetables and a variety of other fresh produce from Australia a lot of which is organic an...,By dancingtraveller61,-37.8463926,144.9918509,1755
91,MELTours,4.4,388,"City Tours • Literary, Art & Music Tours","Our tour guide Kathy, had a fantastic enthusiastic personality, her knowledge about Miss Fisher and the relationship...",By kevinrK6584RK,-37.8173751,144.9669917,1707.2
92,Elite Male Massage,4.9,342,Spas,"Great location , great environment and best of all claim on your medical rebates for remedial massage !",By pictonh,-37.8058371,144.98566,1675.8
93,Ukiyo Melbourne,4.9,335,Escape Games • Game & Entertainment Centres,"Lots of fun, quirky puzzles, really interactive - so much more intriguing than any other escape room we’ve been to!",By EmmelinaF,-37.756741,144.974177,1641.5
94,The Australian Ballet,4.2,390,Ballets,Kirsty Martin danced the role of the Widow beautifully and Adam Bull's performance was also top-class.,By karen2558,-37.8219683,144.9673189,1638
95,Neighbours Tour,4.5,362,Sightseeing Tours,He also took photos for everyone and an amazing panorama where I was at both sides of Ramsey Street (having run behin...,By 580alisonb,-37.814725,144.9659023,1629
96,Melbourne Convention and Exhibition Centre,4.5,360,Convention Centres,Located on South Wharf in close proximity to the Melbourne CBD.,By KeithGrice,-37.8255386,144.9519348,1620
97,AXB Airport Express,5,314,Taxis & Shuttles,We all kept the phone number for future trips as this is the best way to ride from and to the Melbourne airport.,By hartcath2,-37.8082171,144.9713151,1570
98,BALLOONMAN,4.7,332,Balloon Rides,We took our son on the balloon flight as a 21st b'day surprise and it was such a great experience- he thoroughly appr...,By CynthiaGrima,-37.810313,145.004964,1560.4
99,Melbourne Urban Adventures,5,298,"City Tours • Bar, Club & Pub Tours","... us around the eureka skydeck which was pretty cool, then had a walking tour of the laneways and the street art.",By NickiC369,-37.8190716,144.955763,1490
100,Melbourne Town Hall,4.5,327,Historic Sites • Points of Interest & Landmarks,,,-37.8150856,144.9665653,1471.5
101,Outback Billy's,4,360,Sightseeing Tours • Private Tours,,,35.6613331,139.6968322,1440
102,Zero Latency,4.8,296,Game & Entertainment Centres,Renee was an amazing game master and thank you for making the experience much more enjoyable!,By cyin11,-37.7960122,144.9378815,1420.8
103,Melbourne Private Tours,5,281,Walking Tours • Sightseeing Tours,,,-37.850163,144.993873,1405
104,Royal Arcade,4.4,304,Shopping Malls,"Full of interesting shops, recommend you have a look next time your in the CBD.",By Michael-4551,-37.8145388,144.9640625,1337.6
105,Emporium Melbourne,4.4,302,Shopping Malls,"Also the food court is quite spacious and although normally we avoid such areas, this place seems to cater for many t...",By 750dimitrisl,-37.8124446,144.963875,1328.8
106,Melbourne Australia Day Tours,4.3,309,City Tours • Historical & Heritage Tours,Great Ocean Road Reverse Tour,By Tranq2020,-37.8170124,144.970065,1328.7
107,Punting On The Lake,5,265,Boat Tours • Sightseeing Tours,"Your punters are extremely knowledgeable about Melbourne, the Gardens, Ornamental Lake and the native animals within.",By ChefTosh,-37.8293067,144.9825761,1325
108,Walk Melbourne Tours,5,258,Walking Tours,Each of the 4 venues in which we sampled such flavorful and delectable dumplings were hand picked by Monique to tell...,By annkreit21,-37.8110732,144.9647043,1290
109,Haigh's Chocolates Rialto,4.6,277,Speciality & Gift Shops,Has a wide range of selection catering to most chocolate lovers needs coupled with great staff who know their sweet s...,By 988vins,-37.8181523,144.957876,1274.2
110,Southern Cross Station,4,316,Trams • Points of Interest & Landmarks,The old Spencer Street station is now known at Southern Cross Station.,By JacintaRichmond_,-37.8183886,144.9524854,1264
111,Village Cinemas Gold Class,3.9,323,Cinemas,,,-37.8234367,144.9580861,1259.7
112,Melbourne Historical Crime Tours,5,249,Walking Tours,"... tour of Melbourne's past sleazy history delivered by tour guide Michael, a charming host with a wealth of knowledge.",By EDM1941,-37.8093211,144.9696496,1245
113,IMAX Melbourne Museum,4.6,263,Cinemas,Combination of IMAX theatre and Melbourne Museum is great!,By unhappycustomer151,-37.803601,144.9706544,1209.8
114,Australian Open,4.6,262,Sporting Events,We had tickets for the Melbourne Arena and Margaret Court Arena for the third round of the 2019 Open - we stayed at M...,By Aconitina,-37.82267,144.98005,1205.2
115,Bike Tours Melbourne,5,239,Bike Tours,I can so gladly recommend Bike Tours Melbourne to everyone who wants to see that beautiful city through the eyes of l...,By 187jennih,-37.8213191,144.9572166,1195
116,Ocean Road Tours,4.6,259,Sightseeing Tours • Nature & Wildlife Tours,It was great to hear about his stories.,By farihab2020,-37.8185746,144.9627257,1191.4
117,Park Trek,4.4,264,Hiking & Camping Tours,"... about guiding, very knowledgeable of the Tasman Peninsula flora and fauna and great ambassadors for the area.",By 355helen,-37.6694133,145.0913959,1161.6
118,Chapel Street,4,289,Points of Interest & Landmarks,"I LOVE the numbers of Op Shops or thrift stores there, I would recommend Salvos as the first shop to look at for barg...",By 201janiet,-37.8533581,144.9930877,1156
119,Impossible Occurrences,5,227,Theatre & Performances,,,-37.8099821,144.9693717,1135
120,Melbourne's Gardens,4.7,240,Gardens,"... Gardens, and the Botanic Gardens, Flagstaff Gardens, Fitzroy Gardens and Carlton Gardens are just some examples.",By 750dimitrisl,-37.8127215,144.9800679,1128
121,O'Brien Icehouse,4.4,256,Sports Complexes,The staff were really helpful and worked fantastically with our students and all students ended up giving ice skating...,By J294EAjessicam,-37.8118593,144.9356358,1126.4
122,Rap Jumping,4.9,228,Canyoning & Rappelling Tours • Adrenaline & Extreme Tours,I have a fear of heights and wasn’t sure I could go through with it but there is no risk and is completely safe!,By terri284,-37.8278093,144.9571703,1117.2
123,Hike & Seek,5,223,Sightseeing Tours • Hiking & Camping Tours,Perfect small-group hiking tours!,By 842kavitan,36.188255,139.9975946,1115
124,Escape Hunt Melbourne,4.4,241,Escape Games,"UV clues and the odd red herring saw us get through without losing our soul, but it was fun and challenged the boys t...",By Michel_d_Fox,-37.8139808,144.9606998,1060.4
125,Auswalk Walking Holidays,5,209,Walking Tours,I did Auswalk's Great Ocean Walk (guided group walk) earlier this year and enjoyed it so much that I was eager to try...,By 58larainer,-37.9162478,145.0588579,1045
126,I Heart Melbourne Tours,5,207,Sightseeing Tours • Private Tours,Booked a Yarra Valley wine tour with James & I Heart Melbourne Tours while a group of friends and family were visitin...,By shaninanoel,-37.811122,144.888429,1035
127,David Jones,4,253,Speciality & Gift Shops,"The Food Hall is wonderful for all kinds of food especially British teas, jams,sweets and biscuits.",By N5854NAjamess,-37.8134283,144.9644169,1012
128,Lady Cutler Cruise,4.3,235,Boat Tours,"A great way to spend a relaxed Sunday with a happy, helpful crew and a lovely vessel.",By 607philip,-37.8170855,144.9453691,1010.5
129,Flagstaff Gardens,4.6,218,Gardens,City workers often like to have a pick-up game of football during their lunch-hour; there's plenty of space for every...,By 619jeffry,-37.8105577,144.9545199,1002.8
130,City Sightseeing Melbourne,3.7,260,City Tours • Hop-On Hop-Off Tours,,,-37.8169233,144.9697126,962
131,Big Grape Winery Tours,5,189,Multi-day Tours • Private Tours,All up a great day! i would highly recommend the private tour with Big Grape especially for the value and price.,By DeeMont79,-37.7005799,145.5379468,945
132,TRAPT Bar & Escape Rooms,4.4,206,Escape Games,WIZARD OF OZ!,By lucydwilson,-37.812767,144.9614257,906.4
133,Melbourne's Best Tours,3.7,241,Sightseeing Tours • Bus Tours,,,-37.8170693,144.9700948,891.7
134,Comedy Theatre,4.5,198,Comedy Clubs,We had 2nd row Dress Circle and our view and enjoyment of the whole show was superb.,By Backroaders,-37.810291,144.9700237,891
135,Myer,4.2,201,Department Stores,There is a saying more front than Myer and the Bourke Street front is the grandest in Melbourne.It is on the Victoria...,By petermY2777LY,-37.813389,144.963773,844.2
136,Paris Cat Jazz Club,4.7,177,Jazz Bars,,,-37.8135212,144.9607688,831.9
137,Sidney Myer Music Bowl,4.6,178,Arenas & Stadiums,"... venue for concerts, opera, other events, plays and Carols By Candlelight - a yearly tradition enjoyed by young an...",By Swelltraveller67,-37.8233277,144.9746727,818.8
138,Polly Woodside - Melbourne's Tall Ship Story,4.3,188,Speciality Museums,"... the Polly Woodside plenty of times, but this was my first visit inside (with thanks to a National Trust membership).",By Shihoko,-37.824477,144.953565,808.4
139,Real Melbourne Bike Tours,4.5,179,Bike Tours,Saw so much and he pointed Ted out so many things we would have missed without a great guide.,By neile322,-37.8186645,144.9698164,805.5
140,Microflite,5,161,Helicopter Tours,Amazing experience and service from the lounge in the CBD to Zonzo estate for a beautiful Italian lunch.,By Liv1000,-37.8223597,144.9560364,805
141,LEGOLAND Discovery Centre Melbourne,4.1,196,Game & Entertainment Centres,The kids enjoyed the rides and the 4 D cinema as well,By 82christinea,-37.8849084,145.0830696,803.6
142,Drinking History Tours,5,159,"City Tours • Bar, Club & Pub Tours",Walking  history bar tour Melbourne,By Travels14b,-37.8170123,144.9696447,795
143,Viri VR,4.7,166,Game & Entertainment Centres,"Would totally recommend this to anyone looking for a family activity that’s pretty affordable, great fun and active -...",By Jubes2000,-37.819944,144.955791,780.2
144,Port Phillip Ferries,4.6,164,Ferries,"... that this would be an easy, relaxing and economical way to travel up to Melbourne from the Bellarine Peninsula.",By kevdeb5,-37.8170855,144.9453691,754.4
145,Sakura Lounge and Spa,4.7,159,Spas,"... to treat ourselves to a massage , we booked the head to toe package and wow what a fantastic 2 and 1/2 hrs we had...",By p0wers5,-37.8139,144.962034,747.3
146,Cat Cafe Melbourne,4.4,166,Game & Entertainment Centres,I bought some cat treats to feed the cats ($2 for a little container full of treats).,By RocketHistory,-37.8112528,144.9598694,730.4
147,Cinema Nova,4.5,158,Cinemas • Bars & Clubs,"Cinema Nova is in Lygon Street, oppostie the well-known Readings Bookshop.",By 619jeffry,-37.797992,144.967931,711
148,Melbourne Hop on Hop off Tours,3.7,191,Hop-On Hop-Off Tours • Bus Tours,,,-37.8169233,144.9697126,706.7
149,Myuna Farm,4.5,157,Farms,"There were so many animals to see and feed (rabbits, guinea pigs, goats, sheep, pigs, birds, kangaroos, deer etc) My...",By AmandaL4100,-37.9851742,145.23297,706.5
150,Museum of Chinese Australian History,4.3,164,Speciality & Gift Shops • Speciality Museums,"Other floors had exhibits on the Han Dynasty and artifacts, Chinese paintings, dragons, the gold rush.",By blairkk25,-37.8108024,144.9691289,705.2
151,New To Melbourne,4.2,167,Sightseeing Tours • Bus Tours,The Great Ocean Road trip led by Christian was incredible!,By N1217MRstephanieb,-37.8115978,144.9637826,701.4
152,Carlton Gardens,4.6,150,Gardens,... this beautiful garden is the UNESCO Listed Royal Exhibition Building and the modern lines of the Melbourne Museum.,By pakabay,-37.8054312,144.9714124,690
153,GoBoat Melbourne,4.8,142,Boat Hire,Great value attraction for family fun whilst seeing Melbourne from a different perspective.,By EmmaC5832,-37.8205128,144.963173,681.6
154,ACDC Lane,4,169,Scenic Walking Areas,"Just took a couple of snaps of the fantastic art works,also the AC/DC sign.These strret artists are fantastic.",By blueboy84,-37.8156877,144.9709483,676
155,Lightning Ridge Opal Mines,5,132,Speciality & Gift Shops,"There are many variations and colors of opals and the shop attendants will be happy to educate you on the mining, pol...",By High-Dry,-37.8157629,144.9640726,660
156,Melbourne Unique Tours,5,129,City Tours • Historical & Heritage Tours,,,-37.8330119,144.9524667,645
157,Ben's Brew Tours,5,128,Beer Tastings & Tours,Ben really knows about the Australian craft beer scene.,By W6620TCmichaels,-37.8110732,144.9647043,640
